Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training653,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,5.8,53,67
Training654,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.9,57,58
Training655,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.7,50,100
Training656,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,12,40,63
Training657,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,9.8,61,57
Training658,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7,59,54
Training659,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8,60,54
Training660,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.6,53,59
Training661,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8.4,58,55
Training662,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,9.9,74,59
Training663,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,10.8,51,62
Training664,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,5.7,26,64
Training665,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.4,39,100
Training666,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.5,43,54
Training667,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8,50,63
Training668,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.3,53,48
Training669,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,9.6,64,49
Training670,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5,47,54
Training671,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,10.3,52,40
Training672,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,4.9,42,58
Training673,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,5.4,53,67
Training674,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.5,54,53
Training675,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.8,53,59
Training676,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.4,41,64
Training677,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.8,55,62
Training678,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.7,45,72
Training679,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,9.8,40,64
Training680,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,5.3,59,51
Training681,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,11.3,45,67
Training682,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,8.8,48,65
Training683,Won,GTMSys,Health,UK,"GTMSys,Health,UK",67,11.1,39,56
Training684,Won,Procsys,Security,India,"Procsys,Security,India",44,8.3,44,62
Training685,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,11.7,52,90
Training686,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,5.7,63,53
Training687,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.2,48,55
Training688,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.2,42,65
Training689,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,10.8,49,63
Training690,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,5.8,76,50
Training691,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,10.3,38,55
Training692,Lost,GTMSys,Defense,UK,"GTMSys,Defense,UK",83,8.7,50,52
Training693,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.8,72,60
Training694,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8.6,39,79
Training695,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.2,62,63
Training696,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,11.4,69,69
Training697,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.2,47,69
Training698,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.7,40,72
Training699,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,9.2,41,45
Training700,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.8,66,49
Training701,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.4,45,66
Training702,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.8,57,58
Training703,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.8,33,45
Training704,Lost,Procsys,Security,India,"Procsys,Security,India",44,10.8,37,47
Training705,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.8,49,57
Training706,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.3,42,74
Training707,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.6,57,60
Training708,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,12.9,45,55
Training709,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7,52,64
Training710,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.4,56,65
Training711,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,8.8,46,55
Training712,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.6,57,61
Training713,Won,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28,10.7,68,77
Training714,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.4,77,72
Training715,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.5,51,44
Training716,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,5.6,77,68
Training717,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9,48,68
Training718,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,7.5,36,53
Training719,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.1,21,48
Training720,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,7.4,55,69
Training721,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.1,55,61
Training722,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,7.5,43,59
Training723,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.6,56,39
Training724,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,5.8,57,74
Training725,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,8.8,31,55
Training726,Lost,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28,7.6,58,63
Training727,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,5.9,37,46
Training728,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.8,51,68
Training729,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.8,54,50
Training730,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.8,46,66
Training731,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.1,46,60
Training732,Won,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73,2.4,30,53
Training733,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8,50,56
Training734,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,5.9,55,60
Training735,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,4.3,53,65
Training736,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.5,30,90
Training737,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.2,55,72
Training738,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,10.5,47,66
Training739,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,10.3,42,56
Training740,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,7.8,38,63
Training741,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.7,44,50
Training742,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,12.3,63,70
Training743,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8.9,50,55
Training744,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,4.5,41,47
Training745,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.5,41,59
Training746,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.8,43,56
Training747,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,7.9,66,100
Training748,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,10.2,71,62
Training749,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.9,55,70
Training750,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.6,47,59
Training751,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.7,65,74
Training752,Won,GTMSys,Agriculture,Other Europe,"GTMSys,Agriculture,Other Europe",26,3,55,44
Training753,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.6,57,52
Training754,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,11,43,60
Training755,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.9,51,62
Training756,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8,53,51
Training757,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.4,50,65
Training758,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,6.6,51,55
Training759,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,10.8,62,63
Training760,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.6,48,53
Training761,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,9.7,60,56
Training762,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,4.5,51,51
Training763,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.1,30,56
Training764,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,10.8,31,61
Training765,Won,Procsys,Security,India,"Procsys,Security,India",44,9.4,41,62
Training766,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8.9,56,51
Training767,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.4,42,56
Training768,Won,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72,7.9,36,54
Training769,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,6.8,43,60
Training770,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,5.5,53,54
Training771,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,3,47,69
Training772,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,10.6,68,90
Training773,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,7.5,56,65
Training774,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,4.8,35,73
Training775,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.8,39,47
Training776,Won,Procsys,Mobility,Canada,"Procsys,Mobility,Canada",29,5.2,27,67
Training777,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.5,58,61
Training778,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,6.9,54,64
Training779,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.5,61,69
Training780,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,4.4,55,66
Training781,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,7,38,57
Training782,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,5.2,45,48
Training783,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,8.1,59,65
Training784,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6,63,64
Training785,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.7,64,63
Training786,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,9.8,38,53
Training787,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.2,34,67
Training788,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,6.2,64,62
Training789,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.8,42,73
Training790,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9.5,44,64
Training791,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,6.4,51,60
Training792,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.6,59,44
Training793,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,6.5,60,48
Training794,Won,Procsys,Security,India,"Procsys,Security,India",44,6.8,43,61
Training795,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,7.8,40,55
Training796,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,5.9,49,55
Training797,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,7.5,40,49
Training798,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.6,53,52
Training799,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8,41,57
Training800,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,12,54,59
Training801,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.3,46,52
Training802,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.1,61,58
Training803,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,11.8,43,78
Training804,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,8.3,58,67
Training805,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,7.4,48,38
Training806,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,7.7,63,79
Training807,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.7,52,61
Training808,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6,57,61
Training809,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.1,58,54
Training810,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,7.4,50,66
Training811,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.9,48,62
Training812,Won,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,7.1,40,43
Training813,Won,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,7.3,62,66
Training814,Lost,Procsys,Insurance,UK,"Procsys,Insurance,UK",75,11.4,43,54
Training815,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.5,42,54
Training816,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.4,41,70
Training817,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,5.5,69,62
Training818,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,10.1,45,42
Training819,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,10.8,72,54
Training820,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7.6,49,61
Training821,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,6.9,38,100
Training822,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,7.8,53,53
Training823,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,12.3,71,65
Training824,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6,55,78
Training825,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,8.2,51,73
Training826,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,5,56,49
Training827,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.7,52,69
Training828,Won,GTMSys,Other Govt.,Japan,"GTMSys,Other Govt.,Japan",24,10.8,56,59
Training829,Won,Procsys,Security,Americas,"Procsys,Security,Americas",68,5.4,42,59
Training830,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,8,66,55
Training831,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,7.3,58,59
Training832,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.4,60,66
Training833,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,12.5,78,40
Training834,Won,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70,6.1,45,58
Training835,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.7,30,43
Training836,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.7,52,69
Training837,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.1,50,57
Training838,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,11,67,66
Training839,Won,Procsys,Mobility,Canada,"Procsys,Mobility,Canada",29,13.8,38,75
Training840,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.9,54,75
Training841,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.9,60,53
Training842,Lost,Procsys,Security,India,"Procsys,Security,India",44,7.6,59,70
Training843,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,7.4,64,48
Training844,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9.1,47,50
Training845,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.6,54,66
Training846,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.9,41,48
Training847,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.3,39,58
Training848,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9.2,42,76
Training849,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.7,57,53
Training850,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,10.2,48,68
Training851,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.5,30,62
Training852,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.4,70,58
Training853,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.9,74,72
Training854,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.5,72,53
Training855,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,4.8,62,62
Training856,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,7.3,59,63
Training857,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7.4,40,67
Training858,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,8.7,61,62
Training859,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.5,60,70
Training860,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.1,52,50
Training861,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,9.8,57,62
Training862,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.4,43,66
Training863,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.8,57,49
Training864,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,5.3,52,56
Training865,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8,48,60
Training866,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,8.2,54,69
Training867,Lost,Procsys,Security,India,"Procsys,Security,India",44,9.8,60,53
Training868,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.6,28,38
Training869,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.5,63,50
Training870,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,5.5,39,63
Training871,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,7.8,39,67
Training872,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,6.5,49,57
Training873,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8.1,50,42
Training874,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8,64,62
Training875,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.6,42,45
Training876,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.1,50,50
Training877,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,6.2,51,56
Training878,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,7.3,46,79
Training879,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8.5,50,67
Training880,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,5.3,52,71
Training881,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.6,52,66
Training882,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,9.4,54,43
Training883,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.6,47,85
Training884,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,6.6,50,62
Training885,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,10.7,63,60
Training886,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.7,39,65
Training887,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,11.9,52,47
Training888,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.8,55,40
Training889,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.5,55,54
Training890,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,10.6,39,49
Training891,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.4,55,59
Training892,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,7.3,75,61
Training893,Won,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28,8.6,46,52
Training894,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,5.7,64,57
Training895,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,6,56,48
Training896,Won,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,10.2,33,55
Training897,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.3,42,76
Training898,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.9,44,48
Training899,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8,45,50
Training900,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,7.4,54,45
Training901,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,7,39,52
Training902,Won,Procsys,Security,India,"Procsys,Security,India",44,7,50,41
Training903,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,4.2,45,49
Training904,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,7.7,45,58
Training905,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.7,45,52
Training906,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.5,51,49
Training907,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,3.2,49,74
Training908,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,11,40,39
Training909,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,10.6,34,77
Training910,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.3,59,65
Training911,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.2,42,49
Training912,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.4,35,43
Training913,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,4.9,36,73
Training914,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.9,54,58
Training915,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.2,50,62
Training916,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.3,31,60
Training917,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,9.7,47,49
Training918,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.8,59,63
Training919,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,10,48,63
Training920,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,4.9,50,44
Training921,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8.9,50,60
Training922,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,6.7,53,58
Training923,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.1,61,49
Training924,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.8,56,51
Training925,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,5.8,44,65
Training926,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.1,61,55
Training927,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.5,56,71
Training928,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,7.7,46,57
Training929,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,9.2,49,61
Training930,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,3.3,64,72
Training931,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,4,44,60
Training932,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,12.1,37,75
Training933,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,9.7,51,45
Training934,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,5.2,42,59
Training935,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,8.7,56,35
Training936,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,9.5,55,70
Training937,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.2,55,60
Training938,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,8.1,56,33
Training939,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.6,47,62
Training940,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.4,43,58
Training941,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,7.1,44,47
Training942,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,11.3,53,43
Training943,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.8,40,72
Training944,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,7,55,55
Training945,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7,39,63
Training946,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10,52,60
